@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MO111 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram256x16\rtl\dpram256x16.v":3675:11:3675:23|Tristate driver one_err_det_o (in view: work.dpram256x16_ipgen_lscc_ram_dp_core_Z13_layer0(verilog)) on net one_err_det_o (in view: work.dpram256x16_ipgen_lscc_ram_dp_core_Z13_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram256x16\rtl\dpram256x16.v":3676:11:3676:23|Tristate driver two_err_det_o (in view: work.dpram256x16_ipgen_lscc_ram_dp_core_Z13_layer0(verilog)) on net two_err_det_o (in view: work.dpram256x16_ipgen_lscc_ram_dp_core_Z13_layer0(verilog)) has its enable tied to GND.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\common\lsc_i2cm_16.v":279:0:279:5|Removing sequential instance rd_data[7:0] (in view: work.lsc_i2cm_16(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\ice40_himax_video_process_128_32_wide_br.v":190:0:190:5|Removing sequential instance o_width[7:0] (in view: work.ice40_himax_video_process_128_32_wide_br_Z25_layer0(verilog)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\ice40_himax_video_process_128_32_wide_br.v":214:0:214:5|Removing sequential instance o_height[7:0] (in view: work.ice40_himax_video_process_128_32_wide_br_Z25_layer0(verilog)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\ice40_himax_video_process_128_32_wide_br.v":657:0:657:5|Removing sequential instance o_dout_1[9:2] (in view: work.ice40_himax_video_process_128_32_wide_br_Z25_layer0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\signdet_post.v":57:0:57:5|Removing sequential instance o_diff[15:0] (in view: work.signdet_post(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\ice40_himax_video_process_128_32_wide_br.v":564:12:564:22|Removing instance u_ram2048x8 (in view: work.ice40_himax_video_process_128_32_wide_br_Z25_layer0(verilog)) of type view:work.dpram2048x8(verilog) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\common\spi_loader_tri_spram.v":250:0:250:5|Removing sequential instance fifo_rdata_h[15:0] (in view: work.spi_loader_tri_spram_Z4_layer0(verilog)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":116:98:116:113|Removing instance lscc_ram_dp_inst (in view: work.dpram2048x8(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_Z24_layer0(verilog) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\signdet_post.v":38:0:38:5|Removing sequential instance r_1st_max_value[14:0] (in view: work.signdet_post(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":381:43:381:50|Removing instance mem_main (in view: work.dpram2048x8_ipgen_lscc_ram_dp_Z24_layer0(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_main_Z19_layer0(verilog) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\ice40_himax_video_process_128_32_wide_br.v":620:0:620:5|Removing sequential instance frame_num_clk (in view: work.ice40_himax_video_process_128_32_wide_br_Z25_layer0(verilog)) of type view:PrimLib.dffe(prim) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\signdet_post.v":38:0:38:5|Removing sequential instance r_2nd_max_value[14:0] (in view: work.signdet_post(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":936:79:936:84|Removing instance NON_MIX\.ADDR_ROUTE\[0\]\.DATA_ROUTE\[0\]\.no_init\.u_mem0 (in view: work.dpram2048x8_ipgen_lscc_ram_dp_main_Z19_layer0(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_core_Z20_layer0(verilog) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":936:79:936:84|Removing instance NON_MIX\.ADDR_ROUTE\[0\]\.DATA_ROUTE\[1\]\.no_init\.u_mem0 (in view: work.dpram2048x8_ipgen_lscc_ram_dp_main_Z19_layer0(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_core_Z21_layer0(verilog) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":936:79:936:84|Removing instance NON_MIX\.ADDR_ROUTE\[0\]\.DATA_ROUTE\[2\]\.no_init\.u_mem0 (in view: work.dpram2048x8_ipgen_lscc_ram_dp_main_Z19_layer0(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_core_Z22_layer0(verilog) because it does not drive other instances.
@N: BN115 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\radiant_mem\dpram2048x8\rtl\dpram2048x8.v":936:79:936:84|Removing instance NON_MIX\.ADDR_ROUTE\[0\]\.DATA_ROUTE\[3\]\.no_init\.u_mem0 (in view: work.dpram2048x8_ipgen_lscc_ram_dp_main_Z19_layer0(verilog)) of type view:work.dpram2048x8_ipgen_lscc_ram_dp_core_Z23_layer0(verilog) because it does not drive other instances.
@N: BN362 :"c:\users\lunar\desktop\ice40 ultraplus hand gesture detection\ice40 ultraplus hand gesture detection design\hand_gesture_rtl\src\common\spi_loader_tri_spram.v":284:0:284:5|Removing sequential instance fifo_raddr_hi[1:0] (in view: work.spi_loader_tri_spram_Z4_layer0(verilog)) of type view:PrimLib.sdffre(prim) because it does not drive other instances.
@N: FX1184 |Applying syn_allowed_resources blockrams=30 on top level netlist lsc_ml_ice40_himax_signdet_top 
@N: FX1143 |Skipping assigning INTERNAL_VREF to iobanks, because the table of mapping from pin to iobank is not initialized.
@N: BN225 |Writing default property annotation file C:\Users\lunar\Desktop\iCE40 UltraPlus Hand Gesture Detection\iCE40 UltraPlus Hand Gesture Detection Design\hand_gesture_RTL\ice40_himax_upduino2_signdet\impl_1\ice40_himax_upduino2_signdet_impl_1.sap.
